a1X,a1Y,a1Z,g1X,g1Y,g1Z,a2X,a2Y,a2Z,g2X,g2Y,g2Z
0.028,-0.708,-0.759,4.333,-1.160,-0.305,-62.90,0.15,0.00,0.00,0.00,22.63
0.016,-0.697,-0.770,2.747,-1.221,0.549,-62.90,0.15,0.00,0.00,0.00,22.63
0.021,-0.709,-0.782,2.502,-0.671,-0.488,-62.90,0.15,0.00,0.00,0.00,22.63
0.031,-0.723,-0.795,0.671,-0.305,-0.061,-62.90,0.15,0.00,0.00,0.00,22.63
0.029,-0.708,-0.792,-0.732,-0.854,-0.183,-62.90,0.15,0.00,0.00,0.00,22.63
0.021,-0.697,-0.776,-1.343,-1.465,-0.854,-62.90,0.15,0.00,0.00,0.00,22.63
0.010,-0.705,-0.754,-0.732,-1.282,-1.221,-62.90,0.15,0.00,0.00,0.00,22.63
0.014,-0.697,-0.764,-0.061,0.183,-0.183,-62.90,0.15,0.00,0.00,0.00,22.63
0.011,-0.689,-0.766,0.793,-0.244,0.793,-62.90,0.15,0.00,0.00,0.00,22.63
0.011,-0.703,-0.763,2.747,-0.488,1.160,-62.90,0.15,0.00,0.00,0.00,22.63
0.010,-0.711,-0.761,3.113,-0.305,1.038,-62.90,0.15,0.00,0.00,0.00,22.63
0.016,-0.704,-0.761,0.793,1.404,0.977,-62.90,0.15,0.00,0.00,0.00,22.63
0.015,-0.684,-0.763,-0.305,1.770,0.854,-62.90,0.15,0.00,0.00,0.00,22.63
0.017,-0.697,-0.763,0.122,2.441,0.122,2.53,-5.54,9.01,-0.03,0.03,-0.03
0.043,-0.675,-0.792,-1.648,2.747,0.000,-62.90,0.15,0.00,0.00,0.00,22.63
0.045,-0.652,-0.780,-1.343,0.732,0.183,-62.90,0.15,0.00,0.00,0.00,22.63
0.035,-0.665,-0.767,1.831,-0.671,0.427,-62.90,0.15,0.00,0.00,0.00,22.63
0.030,-0.679,-0.777,3.479,-0.610,0.061,-62.90,0.15,0.00,0.00,0.00,22.63
0.023,-0.703,-0.780,4.639,-1.404,-0.183,-62.90,0.15,0.00,0.00,0.00,22.63
0.014,-0.731,-0.777,3.967,-1.343,0.732,-62.90,0.15,0.00,0.00,0.00,22.63
0.018,-0.709,-0.779,1.526,-1.343,1.465,-62.90,0.15,0.00,0.00,0.00,22.63
0.025,-0.708,-0.777,0.671,-0.916,0.977,-62.90,0.15,0.00,0.00,0.00,22.63
0.027,-0.703,-0.769,0.366,-0.488,0.305,-62.90,0.15,0.00,0.00,0.00,22.63
0.021,-0.694,-0.754,-0.732,0.549,0.000,-62.90,0.15,0.00,0.00,0.00,22.63
0.026,-0.676,-0.761,-0.732,0.427,0.427,-62.90,0.15,0.00,0.00,0.00,22.63
0.033,-0.670,-0.776,0.671,0.183,0.793,-62.90,0.15,0.00,0.00,0.00,22.63
0.029,-0.689,-0.778,2.869,-0.793,0.977,-62.90,0.15,0.00,0.00,0.00,22.63
0.021,-0.712,-0.776,3.784,-1.099,0.916,-62.90,0.15,0.00,0.00,0.00,22.63
0.017,-0.704,-0.778,0.916,0.061,0.122,-62.90,0.15,0.00,0.00,0.00,22.63
0.019,-0.700,-0.773,0.610,0.488,0.000,-62.90,0.15,0.00,0.00,0.00,22.63
0.016,-0.678,-0.771,-0.183,0.427,0.061,-62.90,0.15,0.00,0.00,0.00,22.63
0.023,-0.679,-0.779,0.549,0.977,-0.244,-62.90,0.15,0.00,0.00,0.00,22.63
0.025,-0.701,-0.785,2.563,0.854,-0.732,-62.90,0.15,0.00,0.00,0.00,22.63
0.030,-0.716,-0.793,2.625,-0.671,0.732,-62.90,0.15,0.00,0.00,0.00,22.63
0.028,-0.708,-0.785,1.892,-1.648,1.221,-62.90,0.15,0.00,0.00,0.00,22.63
0.022,-0.698,-0.770,1.099,-1.709,0.977,-62.90,0.15,0.00,0.00,0.00,22.63
0.019,-0.701,-0.759,0.732,-1.282,0.671,-62.90,0.15,0.00,0.00,0.00,22.63
0.009,-0.686,-0.760,0.366,-0.916,1.282,-62.90,0.15,0.00,0.00,0.00,22.63
0.015,-0.708,-0.766,2.014,-0.122,1.526,-62.90,0.15,0.00,0.00,0.00,22.63
0.031,-0.698,-0.785,1.099,0.549,1.831,-62.90,0.15,0.00,0.00,0.00,22.63
0.035,-0.688,-0.788,0.061,0.366,1.587,-62.90,0.15,0.00,0.00,0.00,22.63
0.034,-0.689,-0.778,0.488,0.000,0.977,-62.90,0.15,0.00,0.00,0.00,22.63
0.029,-0.677,-0.768,1.099,-0.244,-0.305,-62.90,0.15,0.00,0.00,0.00,22.63
0.032,-0.693,-0.778,2.319,-0.183,-0.244,-62.90,0.15,0.00,0.00,0.00,22.63
0.037,-0.694,-0.787,2.502,-0.488,0.183,-62.90,0.15,0.00,0.00,0.00,22.63
-,-,-,-,-,-,-,-,-,-,-,-
0.031,-0.706,-0.800,2.930,-2.197,0.488,-62.90,0.15,0.00,0.00,0.00,22.63
0.021,-0.722,-0.789,3.174,-3.235,0.610,-62.90,0.15,0.00,0.00,0.00,22.63
0.015,-0.713,-0.773,1.892,-3.357,0.977,-62.90,0.15,0.00,0.00,0.00,22.63
0.001,-0.708,-0.747,0.366,-2.441,0.854,-62.90,0.15,0.00,0.00,0.00,22.63
0.021,-0.674,-0.765,-1.404,0.549,2.441,-62.90,0.15,0.00,0.00,0.00,22.63
0.026,-0.652,-0.761,-0.610,0.427,2.380,-62.90,0.15,0.00,0.00,0.00,22.63
0.030,-0.685,-0.764,1.404,0.610,1.526,-62.90,0.15,0.00,0.00,0.00,22.63
0.041,-0.706,-0.780,1.526,1.221,0.977,-62.90,0.15,0.00,0.00,0.00,22.63
0.046,-0.690,-0.794,-0.244,1.038,1.038,-62.90,0.15,0.00,0.00,0.00,22.63
0.035,-0.697,-0.788,0.366,-1.038,0.549,-62.90,0.15,0.00,0.00,0.00,22.63
0.038,-0.693,-0.779,0.427,-1.160,0.305,-62.90,0.15,0.00,0.00,0.00,22.63
0.043,-0.669,-0.784,-1.038,-1.282,0.000,-62.90,0.15,0.00,0.00,0.00,22.63
0.034,-0.672,-0.772,-0.366,-1.587,-0.671,-62.90,0.15,0.00,0.00,0.00,22.63
0.029,-0.702,-0.773,2.197,-1.709,0.488,-62.90,0.15,0.00,0.00,0.00,22.63
0.020,-0.674,-0.766,1.099,-1.892,0.854,-62.90,0.15,0.00,0.00,0.00,22.63
0.008,-0.684,-0.751,1.770,-1.465,-0.061,-62.90,0.15,0.00,0.00,0.00,22.63
0.017,-0.712,-0.761,2.686,-0.122,-0.488,-62.90,0.15,0.00,0.00,0.00,22.63
0.034,-0.689,-0.780,1.526,0.122,0.183,-62.90,0.15,0.00,0.00,0.00,22.63
0.034,-0.686,-0.784,2.014,-0.244,-0.427,-62.90,0.15,0.00,0.00,0.00,22.63
0.020,-0.708,-0.779,1.831,-0.427,-0.549,-62.90,0.15,0.00,0.00,0.00,22.63
