a1X,a1Y,a1Z,g1X,g1Y,g1Z,a2X,a2Y,a2Z,g2X,g2Y,g2Z
-0.485,-1.513,-0.693,85.876,6.470,128.784,7.68,-2.17,6.95,-4.48,-1.12,-2.14
-1.053,-1.291,-0.579,-20.142,65.186,10.681,7.06,0.35,8.98,-3.15,-0.58,-2.79
-0.896,-1.334,-0.549,-10.010,82.275,15.137,6.95,2.32,10.89,-2.30,-0.38,-2.75
-0.899,-1.072,-0.385,-5.676,75.256,36.255,6.26,3.91,11.22,-1.66,-0.38,-2.36
-0.749,-0.920,-0.357,-7.874,75.378,34.607,5.77,4.80,10.86,-1.24,-0.45,-1.90
-0.513,-0.660,-0.334,-14.343,67.566,27.283,5.51,4.87,10.21,-1.03,-0.54,-1.42
-0.528,-0.370,-0.246,-18.188,60.303,22.644,4.79,4.74,8.95,-0.91,-0.49,-1.03
-0.473,-0.631,-0.428,13.245,46.143,21.545,5.11,4.47,8.51,-0.87,0.01,-0.81
-0.480,-0.617,-0.442,19.897,33.936,30.273,5.04,4.00,7.99,-0.69,-0.14,-0.80
-0.679,-0.768,-0.512,13.550,19.348,16.602,5.48,3.89,7.88,-0.42,-0.09,-0.82
-0.724,-0.774,-0.482,5.859,22.766,9.155,5.62,4.28,7.76,-0.15,-0.01,-0.77
-0.668,-0.666,-0.475,-19.775,28.564,-16.846,5.79,4.71,7.79,0.05,-0.02,-0.81
-0.567,-0.660,-0.494,-21.606,25.757,-18.250,6.04,4.69,8.00,0.13,-0.03,-0.74
-0.456,-0.634,-0.484,-17.334,5.066,-7.629,6.15,4.39,8.08,0.14,-0.00,-0.60
-0.483,-0.563,-0.441,-14.648,-4.883,-3.174,5.96,4.16,7.88,0.14,0.05,-0.43
-0.436,-0.709,-0.510,-3.357,-17.517,0.488,5.90,3.89,7.88,0.13,0.07,-0.28
-0.462,-0.779,-0.532,-4.700,-22.583,-0.366,5.91,3.57,7.93,0.15,0.10,-0.20
-0.596,-0.728,-0.509,-20.691,-23.315,-9.949,5.88,3.42,7.96,0.25,0.22,-0.11
-0.764,-0.582,-0.387,-28.503,-20.142,-18.860,5.34,3.87,7.52,0.46,0.31,-0.18
-0.797,-0.736,-0.418,-25.757,2.686,-35.645,5.18,4.65,7.73,0.66,0.32,-0.34
-0.635,-0.839,-0.465,-23.926,10.193,-30.762,5.32,4.81,8.11,0.73,0.34,-0.41
-0.468,-0.802,-0.450,-38.391,7.019,-27.649,5.35,4.65,8.24,0.80,0.39,-0.41
-0.482,-0.761,-0.466,-44.128,0.305,-29.663,5.48,4.60,8.27,0.85,0.57,-0.23
-0.603,-0.699,-0.424,-45.471,-13.489,-31.433,5.44,4.91,8.25,0.89,0.60,-0.10
-0.703,-0.690,-0.406,-43.030,-17.578,-31.189,5.46,5.20,8.16,0.90,0.62,-0.02
-0.873,-0.603,-0.373,-39.612,-16.235,-27.161,5.26,5.79,8.08,0.88,0.63,0.08
-0.884,-0.584,-0.360,-35.156,-12.268,-23.682,5.17,6.21,7.97,0.78,0.70,0.23
-0.750,-0.629,-0.404,-22.583,-3.235,-14.526,5.11,5.95,7.75,0.74,0.82,0.36
-0.733,-0.678,-0.420,-20.691,-0.732,-15.808,5.14,5.69,7.63,0.78,0.87,0.41
-0.555,-0.698,-0.541,-29.114,4.333,-25.330,5.27,5.37,7.69,0.85,0.93,0.46
-0.510,-0.739,-0.578,-33.081,0.427,-32.166,5.47,5.15,7.90,0.90,0.84,0.44
-0.486,-0.714,-0.553,-43.579,-12.634,-36.865,5.64,4.90,8.00,0.89,0.56,0.29
-0.552,-0.660,-0.479,-46.570,-18.738,-36.926,5.52,4.71,7.81,0.89,0.37,0.18
-0.619,-0.690,-0.474,-47.607,-24.231,-32.776,5.91,4.75,7.80,0.94,0.64,0.29
-0.777,-0.670,-0.403,-52.734,-29.480,-16.235,5.70,5.37,7.60,0.96,0.89,0.39
-0.818,-0.546,-0.343,-54.443,-15.198,-27.527,5.04,5.56,7.41,0.97,1.26,0.59
-0.818,-0.674,-0.349,-48.096,-0.427,-34.058,4.83,5.92,7.31,0.98,0.93,0.30
-0.777,-0.675,-0.370,-49.438,5.432,-30.518,4.80,6.20,7.48,1.03,0.98,0.24
-0.672,-0.648,-0.347,-49.805,7.812,-27.527,4.72,6.34,7.55,0.99,0.89,0.12
-0.654,-0.632,-0.364,-48.584,5.554,-25.757,4.75,6.26,7.65,0.90,0.86,0.12
-0.644,-0.624,-0.345,-37.964,-1.526,-15.747,4.73,6.29,7.70,0.78,0.81,0.14
-0.656,-0.646,-0.348,-32.104,-5.188,-11.169,4.67,6.23,7.70,0.64,0.79,0.21
-0.712,-0.653,-0.343,-24.597,-9.827,-3.174,4.62,6.27,7.70,0.52,0.77,0.28
-0.726,-0.659,-0.343,-22.095,-9.705,-1.526,4.58,6.27,7.65,0.41,0.75,0.34
-0.784,-0.624,-0.321,-21.057,-8.057,-1.709,4.47,6.33,7.53,0.33,0.70,0.36
-0.802,-0.625,-0.319,-18.982,-5.310,-3.845,4.40,6.44,7.44,0.28,0.63,0.33
-0.711,-0.679,-0.375,-15.625,0.000,-6.287,4.48,6.46,7.47,0.23,0.53,0.26
-0.648,-0.690,-0.381,-16.663,-1.526,-7.202,4.60,6.22,7.52,0.20,0.47,0.21
-0.624,-0.704,-0.400,-20.081,-8.484,-9.888,4.74,6.03,7.65,0.19,0.43,0.21
-0.645,-0.698,-0.389,-20.081,-13.000,-9.216,4.84,5.96,7.76,0.17,0.41,0.25
-0.710,-0.684,-0.355,-19.226,-20.020,-9.033,4.82,6.03,7.77,0.14,0.41,0.32
-0.728,-0.688,-0.347,-18.555,-21.362,-9.338,4.78,6.11,7.72,0.13,0.40,0.37
-0.729,-0.702,-0.323,-20.081,-20.142,-11.902,4.67,6.09,7.60,0.16,0.42,0.40
-0.737,-0.687,-0.306,-23.621,-18.005,-15.747,4.55,6.14,7.48,0.24,0.44,0.40
-0.750,-0.650,-0.280,-29.114,-13.733,-21.973,4.44,6.29,7.38,0.33,0.47,0.39
-0.771,-0.617,-0.255,-30.457,-12.329,-23.560,4.30,6.49,7.28,0.39,0.49,0.39
-0.785,-0.625,-0.234,-25.940,-9.216,-22.949,4.15,6.75,7.21,0.40,0.47,0.38
-0.758,-0.610,-0.248,-21.667,-8.118,-19.470,4.07,6.87,7.21,0.35,0.42,0.39
-0.713,-0.660,-0.304,-15.076,-9.155,-9.705,4.10,6.69,7.28,0.27,0.39,0.40
-0.621,-0.678,-0.333,-13.977,-13.245,-5.493,4.23,6.48,7.43,0.19,0.38,0.43
-0.619,-0.671,-0.332,-14.709,-24.231,0.427,4.33,6.23,7.57,0.09,0.39,0.48
-0.650,-0.677,-0.347,-12.756,-27.649,1.648,4.39,6.04,7.66,0.01,0.39,0.54
-0.681,-0.719,-0.370,-11.108,-30.029,2.319,4.50,5.93,7.77,-0.05,0.40,0.57
-0.733,-0.750,-0.392,-15.137,-29.358,2.808,4.60,5.84,7.83,-0.06,0.43,0.56
-0.738,-0.735,-0.370,-25.208,-21.545,-1.343,4.64,5.79,7.78,-0.01,0.47,0.51
-0.743,-0.655,-0.370,-28.320,-16.907,-3.479,4.63,5.90,7.73,0.05,0.49,0.43
-0.696,-0.636,-0.373,-25.818,-12.756,-2.930,4.69,5.98,7.77,0.06,0.47,0.35
-0.647,-0.607,-0.382,-24.048,-12.268,-0.305,4.77,5.86,7.74,0.02,0.44,0.29
-0.643,-0.610,-0.380,-18.372,-16.296,8.118,4.87,5.68,7.66,-0.05,0.42,0.26
-0.698,-0.603,-0.350,-16.602,-18.188,12.390,4.84,5.64,7.56,-0.12,0.42,0.25
-0.791,-0.642,-0.307,-12.085,-13.062,16.113,4.68,5.82,7.52,-0.17,0.39,0.19
-0.777,-0.709,-0.338,-8.972,-6.775,17.822,4.64,6.08,7.68,-0.24,0.34,0.10
-0.706,-0.760,-0.376,-9.521,0.122,23.315,4.65,6.15,7.84,-0.31,0.34,0.02
-0.675,-0.751,-0.367,-11.414,1.465,23.071,4.61,6.04,7.97,-0.35,0.35,-0.04
-0.682,-0.716,-0.313,-12.451,0.366,17.151,4.51,6.00,8.06,-0.36,0.35,-0.06
-0.695,-0.690,-0.286,-12.268,0.427,13.428,4.30,6.13,8.13,-0.38,0.31,-0.05
-0.671,-0.698,-0.265,-4.395,1.099,12.878,4.19,6.19,8.13,-0.44,0.24,-0.03
-0.624,-0.705,-0.293,-0.977,1.709,14.832,4.14,5.97,8.06,-0.48,0.19,-0.00
-0.631,-0.721,-0.340,1.892,-1.343,14.709,4.18,5.75,8.03,-0.48,0.15,0.02
-0.651,-0.754,-0.355,1.953,-5.005,12.329,4.25,5.63,8.03,-0.44,0.12,0.03
-0.678,-0.761,-0.358,-4.944,-7.629,7.568,4.30,5.54,8.06,-0.38,0.12,0.02
-0.682,-0.765,-0.351,-8.545,-5.920,4.761,4.31,5.51,8.15,-0.29,0.12,-0.02
-0.658,-0.746,-0.332,-11.780,-1.282,0.671,4.30,5.51,8.23,-0.21,0.11,-0.08
-0.636,-0.743,-0.328,-10.864,0.854,-0.366,4.25,5.47,8.25,-0.14,0.09,-0.12
-0.644,-0.733,-0.301,-9.583,1.221,-3.235,4.22,5.57,8.23,-0.07,0.08,-0.13
-0.681,-0.710,-0.291,-10.132,-0.183,-4.272,4.21,5.77,8.13,-0.04,0.07,-0.10
-0.724,-0.675,-0.270,-9.460,-0.366,-4.395,4.19,6.03,8.06,-0.06,0.06,-0.07
-0.706,-0.666,-0.271,-6.714,0.549,-1.953,4.16,6.16,8.03,-0.12,0.05,-0.04
-0.668,-0.717,-0.312,2.014,0.366,4.700,4.18,6.04,8.00,-0.17,0.03,-0.02
-0.676,-0.749,-0.329,3.296,-0.366,6.226,4.26,5.91,8.04,-0.19,0.02,-0.01
-0.676,-0.743,-0.342,-0.610,0.427,5.432,4.33,5.80,8.10,-0.18,0.04,-0.01
-0.681,-0.745,-0.336,-2.380,1.404,3.601,4.36,5.74,8.13,-0.17,0.05,-0.03
-0.682,-0.733,-0.319,-5.371,4.089,2.991,4.33,5.70,8.14,-0.15,0.07,-0.06
-0.662,-0.727,-0.314,-5.859,5.859,4.456,4.28,5.63,8.14,-0.13,0.08,-0.12
-0.631,-0.762,-0.325,-4.333,6.165,4.333,4.24,5.50,8.15,-0.08,0.09,-0.17
-0.657,-0.770,-0.311,-6.165,4.456,1.892,4.21,5.59,8.18,-0.02,0.09,-0.21
-0.693,-0.702,-0.249,-11.475,5.676,-1.770,4.09,5.79,8.15,-0.01,0.09,-0.22
-0.691,-0.689,-0.238,-9.644,7.019,-1.770,3.97,5.95,8.12,-0.03,0.07,-0.23
-0.631,-0.725,-0.276,-1.343,8.545,2.075,3.94,5.91,8.12,-0.05,0.04,-0.23
-0.649,-0.743,-0.272,0.610,5.981,2.502,3.91,5.90,8.12,-0.06,0.02,-0.22
-0.670,-0.716,-0.255,1.892,5.371,0.610,3.86,5.96,8.14,-0.07,-0.02,-0.20
-0.655,-0.722,-0.267,3.784,6.042,-0.183,3.86,5.95,8.10,-0.08,-0.06,-0.18
-0.658,-0.753,-0.286,4.578,2.747,-2.014,3.93,5.88,8.09,-0.08,-0.10,-0.16
-0.667,-0.743,-0.287,3.540,2.380,-2.136,4.00,5.90,8.09,-0.06,-0.11,-0.14
-0.676,-0.727,-0.295,2.502,2.014,-2.197,4.06,5.95,8.05,-0.06,-0.10,-0.11
-0.676,-0.729,-0.311,2.258,1.648,-1.953,4.16,5.97,8.04,-0.07,-0.09,-0.10
-0.694,-0.739,-0.317,1.160,0.305,-1.160,4.26,6.02,8.07,-0.07,-0.08,-0.08
-0.683,-0.724,-0.294,0.366,0.549,-0.183,4.26,6.08,8.06,-0.09,-0.06,-0.06
-0.652,-0.719,-0.291,0.793,-0.244,0.305,4.23,6.02,8.03,-0.12,-0.05,-0.03
-,-,-,-,-,-,-,-,-,-,-,-
-1.198,1.009,-0.833,124.084,44.495,358.215,7.48,6.39,6.42,-4.68,-2.47,-1.70
0.220,-1.058,-1.228,354.370,142.273,205.505,7.96,4.47,6.59,-5.03,-2.80,-2.11
-0.143,-1.801,-1.282,388.062,81.299,215.820,8.04,2.59,6.86,-4.79,-3.13,-2.59
-0.217,-1.280,-1.040,160.400,94.910,136.475,8.77,1.79,8.23,-4.44,-2.65,-2.24
-0.211,-1.300,-0.809,127.991,108.643,106.506,8.48,1.84,9.11,-4.07,-2.31,-2.23
-0.227,-1.184,-0.459,68.542,112.366,62.012,7.73,2.01,9.67,-3.67,-2.00,-2.32
-0.260,-1.097,-0.345,53.955,106.812,62.561,6.71,1.62,9.99,-3.24,-1.70,-2.34
-0.358,-1.055,-0.231,52.063,92.957,76.294,5.39,2.20,9.92,-2.69,-1.61,-2.34
-0.400,-0.968,-0.190,42.358,89.783,67.932,4.72,2.22,9.79,-2.20,-1.36,-2.09
-0.420,-0.999,-0.150,35.278,93.384,38.330,3.70,2.79,9.28,-1.69,-0.89,-1.96
-0.323,-1.005,-0.195,19.531,92.529,11.658,3.39,2.81,9.02,-1.12,-0.73,-1.90
-0.266,-0.955,-0.230,-8.423,74.768,-30.151,3.44,2.96,8.95,-0.53,-0.52,-1.77
-0.425,-0.781,-0.161,-22.400,53.528,-44.983,3.71,3.92,8.88,0.02,-0.44,-1.48
-0.971,-0.495,0.006,-25.452,8.850,-37.354,3.80,5.46,8.53,0.25,-0.32,-1.08
